Compound	HMDB	KEGG	High.Confidence.Annotation	Compound.Name	Retention.Time	m.z	Cluster..if.DA.	Putative.Chemical.Class	Adduct
HILIC-pos_Cluster_0292: NA	NA	NA	TRUE	NA	8.001471	174.14825	NA	NA	NA
HILIC-pos_Cluster_0293: NA	NA	NA	TRUE	NA	7.68173	175.070702	NA	Asparagine and derivatives	NA
HILIC-pos_Cluster_0294: NA	NA	NA	TRUE	NA	7.555792	175.107108	NA	Glutamine and derivatives	NA
HILIC-pos_Cluster_0297: NA	NA	NA	TRUE	NA	5.871386	175.122475	NA	Indoles	NA
HILIC-pos_Cluster_0299: NA	NA	NA	TRUE	NA	6.909959	176.065202	NA	NA	NA
HILIC-pos_Cluster_0300: NA	NA	NA	TRUE	NA	7.042967	176.065173	NA	NA	NA
HILIC-pos_Cluster_0301: NA	NA	NA	TRUE	NA	6.691436	176.070022	NA	Indoles and derivatives	NA
HILIC-pos_Cluster_0303: NA	NA	NA	TRUE	NA	7.720319	176.09121	NA	NA	NA
HILIC-pos_Cluster_0304: NA	NA	NA	TRUE	NA	7.819304	176.091129	NA	Gamma amino acids and derivatives	NA
HILIC-pos_Cluster_0305: NA	NA	NA	TRUE	NA	7.975711	176.091239	NA	NA	NA
HILIC-pos_Cluster_0307: NA	NA	NA	TRUE	NA	6.743487	176.106561	NA	NA	NA
HILIC-pos_Cluster_0311: NA	NA	NA	TRUE	NA	7.564468	178.025959	NA	NA	NA
HILIC-pos_Cluster_0312: NA	NA	NA	TRUE	NA	2.946747	178.049335	NA	Benzoxazolones	NA
HILIC-pos_Cluster_0313: NA	NA	NA	TRUE	NA	7.677587	178.122069	NA	Alkyl-phenylketones	NA
HILIC-pos_Cluster_0314: NA	NA	NA	TRUE	NA	8.09239	178.122138	NA	Alkyl-phenylketones	NA
HILIC-pos_Cluster_0315: NA	NA	NA	TRUE	NA	7.002906	178.122021	NA	Alkyl-phenylketones	NA
HILIC-pos_Cluster_0318: NA	NA	NA	TRUE	NA	2.937851	180.101288	NA	Tetrahydroisoquinolines	NA
HILIC-pos_Cluster_0320: NA	NA	NA	TRUE	NA	6.726522	180.101208	NA	Tetrahydroisoquinolines	NA
HILIC-pos_Cluster_0321: NA	NA	NA	TRUE	NA	8.044512	180.10132	NA	Tetrahydroisoquinolines	NA
HILIC-pos_Cluster_0324: NA	NA	NA	TRUE	NA	3.217516	181.071353	NA	Cyclohexanols	NA
HILIC-pos_Cluster_0328: NA	NA	NA	TRUE	NA	7.666467	181.960852	NA	NA	NA
HILIC-pos_Cluster_0329: NA	NA	NA	TRUE	NA	4.598507	182.066718	NA	Imidazopyrimidines	NA
HILIC-pos_Cluster_0331: NA	NA	NA	TRUE	NA	4.214898	182.080844	NA	Tetrahydroisoquinolines	NA
HILIC-pos_Cluster_0332: NA	NA	NA	TRUE	NA	3.67606	182.080557	NA	Tetrahydroisoquinolines	NA
HILIC-pos_Cluster_0335: NA	NA	NA	TRUE	NA	4.791759	182.103063	NA	Pteridines and derivatives	NA
HILIC-pos_Cluster_0336: NA	NA	NA	TRUE	NA	8.748387	182.117084	NA	Amphetamines and derivatives	NA
HILIC-pos_Cluster_0337: NA	NA	NA	TRUE	NA	6.919569	182.128267	NA	NA	NA
HILIC-pos_Cluster_0338: NA	NA	NA	TRUE	NA	8.058961	182.984667	NA	NA	NA
HILIC-pos_Cluster_0339: NA	NA	NA	TRUE	NA	7.660565	183.088915	NA	Organonitrogen compounds	NA
HILIC-pos_Cluster_0344: NA	NA	NA	TRUE	NA	7.937699	184.096293	NA	Pyridines and derivatives	NA
HILIC-pos_Cluster_0345: NA	NA	NA	TRUE	NA	8.970176	184.093731	NA	NA	NA
HILIC-pos_Cluster_0346: NA	NA	NA	TRUE	NA	10.688131	184.107606	NA	NA	NA
HILIC-pos_Cluster_0347: NA	NA	NA	TRUE	NA	6.651914	184.132583	NA	Piperidines	NA
HILIC-pos_Cluster_0348: NA	NA	NA	TRUE	NA	8.042448	185.031694	NA	NA	NA
HILIC-pos_Cluster_0349: NA	NA	NA	TRUE	NA	5.867849	185.080046	NA	Medium-chain fatty acids	NA
HILIC-pos_Cluster_0350: NA	NA	NA	TRUE	NA	7.266027	185.114067	NA	NA	NA
HILIC-pos_Cluster_0351: NA	NA	NA	TRUE	NA	5.491534	185.127846	NA	NA	NA
HILIC-pos_Cluster_0355: NA	NA	NA	TRUE	NA	5.403967	186.075563	NA	NA	NA
HILIC-pos_Cluster_0357: NA	NA	NA	TRUE	NA	8.10405	186.111934	NA	NA	NA
HILIC-pos_Cluster_0359: NA	NA	NA	TRUE	NA	5.648763	186.221071	NA	NA	NA
HILIC-pos_Cluster_0361: NA	NA	NA	TRUE	NA	7.612368	187.107138	NA	Dipeptides	NA
HILIC-pos_Cluster_0363: NA	NA	NA	TRUE	NA	8.299837	187.107163	NA	Dipeptides	NA
HILIC-pos_Cluster_0364: NA	NA	NA	TRUE	NA	4.788626	187.143369	NA	Ketones	NA
HILIC-pos_Cluster_0365: NA	NA	NA	TRUE	NA	5.019833	187.143491	NA	Ketones	NA
HILIC-pos_Cluster_0368: NA	NA	NA	TRUE	NA	6.717602	187.179877	NA	NA	NA
HILIC-pos_Cluster_0369: NA	NA	NA	TRUE	NA	6.454297	188.069902	NA	Triazines	NA
HILIC-pos_Cluster_0370: NA	NA	NA	TRUE	NA	6.451004	188.106403	NA	NA	NA
HILIC-pos_Cluster_0371: NA	NA	NA	TRUE	NA	7.859533	188.106476	NA	NA	NA
HILIC-pos_Cluster_0372: NA	NA	NA	TRUE	NA	2.361563	188.127471	NA	Medium-chain fatty acids	NA
HILIC-pos_Cluster_0373: NA	NA	NA	TRUE	NA	2.660712	188.127586	NA	Medium-chain fatty acids	NA
HILIC-pos_Cluster_0376: NA	NA	NA	TRUE	NA	9.354082	189.12289	NA	Dipeptides	NA
HILIC-pos_Cluster_0381: NA	NA	NA	TRUE	NA	9.691067	189.171554	NA	NA	NA
HILIC-pos_Cluster_0382: NA	NA	NA	TRUE	NA	2.197504	190.049242	NA	Naphthalenes	NA
HILIC-pos_Cluster_0385: NA	NA	NA	TRUE	NA	6.664471	190.085534	NA	Indolyl carboxylic acids and derivatives	NA
HILIC-pos_Cluster_0386: NA	NA	NA	TRUE	NA	8.363985	190.106699	NA	Tropane alkaloids	NA
HILIC-pos_Cluster_0387: NA	NA	NA	TRUE	NA	7.770434	191.101917	NA	Glutamine and derivatives	NA
HILIC-pos_Cluster_0392: NA	NA	NA	TRUE	NA	8.488826	192.061105	NA	NA	NA
HILIC-pos_Cluster_0394: NA	NA	NA	TRUE	NA	5.879766	192.064836	NA	Benzene and substituted derivatives	NA
HILIC-pos_Cluster_0395: NA	NA	NA	TRUE	NA	8.486811	193.061753	NA	Biphenyls and derivatives	NA
HILIC-pos_Cluster_0397: NA	NA	NA	TRUE	NA	1.852488	193.158061	NA	Monoterpenoids	NA
HILIC-pos_Cluster_0398: NA	NA	NA	TRUE	NA	6.993656	194.021516	NA	NA	NA
HILIC-pos_Cluster_0401: NA	NA	NA	TRUE	NA	8.159603	194.116987	NA	Benzoic acid esters	NA
HILIC-pos_Cluster_0402: NA	NA	NA	TRUE	NA	8.678385	194.11696800000001	NA	Benzoic acid esters	NA
HILIC-pos_Cluster_0404: NA	NA	NA	TRUE	NA	3.984159	195.075548	NA	N-acyl-alpha amino acids	NA
HILIC-pos_Cluster_0406: NA	NA	NA	TRUE	NA	7.940789	195.112183	NA	Pyrrolopyridines	NA
HILIC-pos_Cluster_0407: NA	NA	NA	TRUE	NA	4.165999	195.122143	NA	NA	NA
HILIC-pos_Cluster_0408: NA	NA	NA	TRUE	NA	1.932213	195.137279	NA	NA	NA
HILIC-pos_Cluster_0409: NA	NA	NA	TRUE	NA	6.994873	195.146482	NA	NA	NA
HILIC-pos_Cluster_0410: NA	NA	NA	TRUE	NA	9.558022	195.160012	NA	NA	NA
HILIC-pos_Cluster_0411: NA	NA	NA	TRUE	NA	7.586246	195.976628	NA	NA	NA
HILIC-pos_Cluster_0412: NA	NA	NA	TRUE	NA	1.971142	196.059976	NA	Acylaminobenzoic acid and derivatives	NA
HILIC-pos_Cluster_0413: NA	NA	NA	TRUE	NA	2.946099	196.059932	NA	Acylaminobenzoic acid and derivatives	NA
HILIC-pos_Cluster_0415: NA	NA	NA	TRUE	NA	8.641499	196.132549	NA	Phenols	NA
HILIC-pos_Cluster_0416: NA	NA	NA	TRUE	NA	2.083107	196.16885	NA	Azoles	NA
HILIC-pos_Cluster_0417: NA	NA	NA	TRUE	NA	7.585748	197.974713	NA	Homogeneous transition metal compounds	NA
HILIC-pos_Cluster_0420: NA	NA	NA	TRUE	NA	10.265947	198.122958	NA	NA	NA
HILIC-pos_Cluster_0421: NA	NA	NA	TRUE	NA	1.851288	198.184544	NA	NA	NA
HILIC-pos_Cluster_0424: NA	NA	NA	TRUE	NA	4.24542	199.143387	NA	NA	NA
HILIC-pos_Cluster_0427: NA	NA	NA	TRUE	NA	5.975936	200.091165	NA	NA	NA
HILIC-pos_Cluster_0429: NA	NA	NA	TRUE	NA	6.551497	200.106314	NA	NA	NA
HILIC-pos_Cluster_0430: NA	NA	NA	TRUE	NA	9.611206	200.174979	NA	Diazinanes	NA
HILIC-pos_Cluster_0431: NA	NA	NA	TRUE	NA	5.952253	200.200231	NA	NA	NA
HILIC-pos_Cluster_0432: NA	NA	NA	TRUE	NA	7.782782	201.08624	NA	NA	NA
HILIC-pos_Cluster_0434: NA	NA	NA	TRUE	NA	2.278841	202.143096	NA	N-acyl-alpha amino acids	NA
HILIC-pos_Cluster_0436: NA	NA	NA	TRUE	NA	5.588412	202.215927	NA	NA	NA
HILIC-pos_Cluster_0438: NA	NA	NA	TRUE	NA	5.181426	203.051925	NA	NA	NA
HILIC-pos_Cluster_0439: NA	NA	NA	TRUE	NA	6.153203	203.090588	NA	Medium-chain fatty acids	NA
HILIC-pos_Cluster_0440: NA	NA	NA	TRUE	NA	5.323058	203.102047	NA	Glutamine and derivatives	NA
HILIC-pos_Cluster_0441: NA	NA	NA	TRUE	NA	8.338889	203.1017	NA	Glutamine and derivatives	NA
HILIC-pos_Cluster_0442: NA	NA	NA	TRUE	NA	8.031919	203.138293	NA	Dipeptides	NA
HILIC-pos_Cluster_0443: NA	NA	NA	TRUE	NA	7.27659	203.138285	NA	Dipeptides	NA
HILIC-pos_Cluster_0444: NA	NA	NA	TRUE	NA	9.445648	203.138256	NA	Dipeptides	NA
HILIC-pos_Cluster_0448: NA	NA	NA	TRUE	NA	7.308128	204.085868	NA	NA	NA
HILIC-pos_Cluster_0450: NA	NA	NA	TRUE	NA	5.398071	204.086086	NA	NA	NA
HILIC-pos_Cluster_0451: NA	NA	NA	TRUE	NA	7.263868	204.101236	NA	Indoles and derivatives	NA
HILIC-pos_Cluster_0452: NA	NA	NA	TRUE	NA	7.400092	204.101348	NA	NA	NA
HILIC-pos_Cluster_0460: NA	NA	NA	TRUE	NA	6.307098	206.044939	NA	Quinolines and derivatives	NA
HILIC-pos_Cluster_0461: NA	NA	NA	TRUE	NA	7.746469	206.101495	NA	NA	NA
HILIC-pos_Cluster_0462: NA	NA	NA	TRUE	NA	5.199815	206.101638	NA	NA	NA
HILIC-pos_Cluster_0463: NA	NA	NA	TRUE	NA	7.341005	206.116814	NA	Pyrrolizines	NA
HILIC-pos_Cluster_0464: NA	NA	NA	TRUE	NA	7.843995	206.116876	NA	Pyrrolizines	NA
HILIC-pos_Cluster_0467: NA	NA	NA	TRUE	NA	7.611018	207.997513	NA	NA	NA
HILIC-pos_Cluster_0469: NA	NA	NA	TRUE	NA	2.191715	208.059658	NA	Naphthalenes	NA
HILIC-pos_Cluster_0470: NA	NA	NA	TRUE	NA	2.339682	208.059805	NA	Naphthalenes	NA
HILIC-pos_Cluster_0472: NA	NA	NA	TRUE	NA	8.563507	208.132424	NA	NA	NA
HILIC-pos_Cluster_0474: NA	NA	NA	TRUE	NA	1.788083	209.11643	NA	Phenol ethers	NA
HILIC-pos_Cluster_0477: NA	NA	NA	TRUE	NA	7.96476	209.127764	NA	NA	NA
HILIC-pos_Cluster_0478: NA	NA	NA	TRUE	NA	11.104681	209.127777	NA	NA	NA
HILIC-pos_Cluster_0480: NA	NA	NA	TRUE	NA	6.721139	209.161876	NA	NA	NA
HILIC-pos_Cluster_0481: NA	NA	NA	TRUE	NA	6.662821	210.049517	NA	NA	NA
HILIC-pos_Cluster_0483: NA	NA	NA	TRUE	NA	2.504003	210.075537	NA	N-acyl-alpha amino acids	NA
HILIC-pos_Cluster_0485: NA	NA	NA	TRUE	NA	8.600519	210.111744	NA	NA	NA
HILIC-pos_Cluster_0490: NA	NA	NA	TRUE	NA	7.622346	211.047134	NA	NA	NA
HILIC-pos_Cluster_0491: NA	NA	NA	TRUE	NA	7.363453	211.104701	NA	NA	NA
HILIC-pos_Cluster_0494: NA	NA	NA	TRUE	NA	2.351219	211.132057	NA	Alpha-branched alpha,beta-unsaturated ketones	NA
HILIC-pos_Cluster_0496: NA	NA	NA	TRUE	NA	9.272661	212.102189	NA	Pyrimidine nucleosides	NA
HILIC-pos_Cluster_0497: NA	NA	NA	TRUE	NA	7.933328	212.138738	NA	NA	NA
HILIC-pos_Cluster_0498: NA	NA	NA	TRUE	NA	6.551663	213.112655	NA	Medium-chain fatty acids	NA
HILIC-pos_Cluster_0499: NA	NA	NA	TRUE	NA	8.649515	213.122473	NA	Diazines	NA
HILIC-pos_Cluster_0500: NA	NA	NA	TRUE	NA	8.80604	213.122552	NA	Dipeptides	NA
HILIC-pos_Cluster_0502: NA	NA	NA	TRUE	NA	1.561718	213.184079	NA	Macrolides and analogues	NA
HILIC-pos_Cluster_0504: NA	NA	NA	TRUE	NA	8.350939	214.058097	NA	NA	NA
HILIC-pos_Cluster_0505: NA	NA	NA	TRUE	NA	1.987833	214.089144	NA	Thiazoles	NA
HILIC-pos_Cluster_0506: NA	NA	NA	TRUE	NA	8.050056	214.106667	NA	NA	NA
HILIC-pos_Cluster_0508: NA	NA	NA	TRUE	NA	5.749356	214.252	NA	NA	NA
HILIC-pos_Cluster_0509: NA	NA	NA	TRUE	NA	4.84986	215.015172	NA	NA	NA
HILIC-pos_Cluster_0512: NA	NA	NA	TRUE	NA	7.700543	215.138231	NA	Dipeptides	NA
HILIC-pos_Cluster_0514: NA	NA	NA	TRUE	NA	4.303675	215.174574	NA	NA	NA
HILIC-pos_Cluster_0515: NA	NA	NA	TRUE	NA	1.936932	215.178668	NA	NA	NA
HILIC-pos_Cluster_0516: NA	NA	NA	TRUE	NA	6.355556	216.101127	NA	Triazines	NA
HILIC-pos_Cluster_0517: NA	NA	NA	TRUE	NA	7.874772	216.097128	NA	NA	NA
HILIC-pos_Cluster_0518: NA	NA	NA	TRUE	NA	7.80028	216.122273	NA	Acyl carnitines	NA
HILIC-pos_Cluster_0520: NA	NA	NA	TRUE	NA	8.742589	217.08098	NA	NA	NA
HILIC-pos_Cluster_0522: NA	NA	NA	TRUE	NA	8.081418	217.117423	NA	NA	NA
HILIC-pos_Cluster_0523: NA	NA	NA	TRUE	NA	5.227334	217.117672	NA	NA	NA
HILIC-pos_Cluster_0528: NA	NA	NA	TRUE	NA	7.122926	218.080221	NA	NA	NA
HILIC-pos_Cluster_0530: NA	NA	NA	TRUE	NA	8.190415	218.112557	NA	Dipeptides	NA
HILIC-pos_Cluster_0531: NA	NA	NA	TRUE	NA	7.751495	219.096668	NA	Dipeptides	NA
HILIC-pos_Cluster_0534: NA	NA	NA	TRUE	NA	7.984896	219.13313	NA	Beta amino acids and derivatives	NA
HILIC-pos_Cluster_0536: NA	NA	NA	TRUE	NA	9.344012	219.169584	NA	NA	NA
HILIC-pos_Cluster_0537: NA	NA	NA	TRUE	NA	1.562448	219.173469	NA	Sesquiterpenoids	NA
HILIC-pos_Cluster_0538: NA	NA	NA	TRUE	NA	8.894998	220.095938	NA	Indoles and derivatives	NA
HILIC-pos_Cluster_0539: NA	NA	NA	TRUE	NA	7.20492	220.118268	NA	Imidazopyrimidines	NA
HILIC-pos_Cluster_0541: NA	NA	NA	TRUE	NA	7.819941	221.112419	NA	Dipeptides	NA
HILIC-pos_Cluster_0543: NA	NA	NA	TRUE	NA	1.90521	221.152709	NA	Phenylpropanes	NA
HILIC-pos_Cluster_0544: NA	NA	NA	TRUE	NA	4.899746	222.075351	NA	Indoles and derivatives	NA
HILIC-pos_Cluster_0545: NA	NA	NA	TRUE	NA	5.20726	222.086383	NA	NA	NA
HILIC-pos_Cluster_0546: NA	NA	NA	TRUE	NA	5.398912	222.096318	NA	Gamma amino acids and derivatives	NA
HILIC-pos_Cluster_0547: NA	NA	NA	TRUE	NA	9.490351	222.111721	NA	Tetrahydroisoquinolines	NA
HILIC-pos_Cluster_0548: NA	NA	NA	TRUE	NA	9.534044	223.106995	NA	Dipeptides	NA
HILIC-pos_Cluster_0551: NA	NA	NA	TRUE	NA	11.193546	223.143235	NA	Alpha amino acid amides	NA
HILIC-pos_Cluster_0553: NA	NA	NA	TRUE	NA	7.597494	223.971298	NA	Indoles and derivatives	NA
HILIC-pos_Cluster_0554: NA	NA	NA	TRUE	NA	8.467553	223.988307	NA	NA	NA
HILIC-pos_Cluster_0555: NA	NA	NA	TRUE	NA	2.308936	224.054487	NA	Benzoic acids and derivatives	NA
HILIC-pos_Cluster_0556: NA	NA	NA	TRUE	NA	7.998921	224.090949	NA	Tetrahydroisoquinolines	NA
HILIC-pos_Cluster_0558: NA	NA	NA	TRUE	NA	2.334967	224.090841	NA	Tetrahydroisoquinolines	NA
HILIC-pos_Cluster_0559: NA	NA	NA	TRUE	NA	4.748882	224.09102	NA	Tetrahydroisoquinolines	NA
HILIC-pos_Cluster_0560: NA	NA	NA	TRUE	NA	5.933974	224.102	NA	Carbonyl compounds	NA
HILIC-pos_Cluster_0561: NA	NA	NA	TRUE	NA	7.770027	224.111752	NA	NA	NA
HILIC-pos_Cluster_0562: NA	NA	NA	TRUE	NA	7.591957	224.127147	NA	Epoxides	NA
HILIC-pos_Cluster_0563: NA	NA	NA	TRUE	NA	6.512495	224.127334	NA	Epoxides	NA
HILIC-pos_Cluster_0564: NA	NA	NA	TRUE	NA	8.483926	224.127362	NA	Epoxides	NA
HILIC-pos_Cluster_0565: NA	NA	NA	TRUE	NA	8.788392	224.127271	NA	Epoxides	NA
HILIC-pos_Cluster_0566: NA	NA	NA	TRUE	NA	8.467381	224.988921	NA	NA	NA
HILIC-pos_Cluster_0567: NA	NA	NA	TRUE	NA	7.275953	225.120161	NA	NA	NA
HILIC-pos_Cluster_0568: NA	NA	NA	TRUE	NA	10.054126	225.122577	NA	Pyrimidines and pyrimidine derivatives	NA
HILIC-pos_Cluster_0570: NA	NA	NA	TRUE	NA	6.785341	226.04416	NA	NA	NA
HILIC-pos_Cluster_0571: NA	NA	NA	TRUE	NA	7.3034	226.067863	NA	NA	NA
HILIC-pos_Cluster_0574: NA	NA	NA	TRUE	NA	8.173491	226.106406	NA	NA	NA
HILIC-pos_Cluster_0575: NA	NA	NA	TRUE	NA	4.863901	226.106629	NA	NA	NA
HILIC-pos_Cluster_0576: NA	NA	NA	TRUE	NA	10.377578	226.117813	NA	Pyridines and derivatives	NA
HILIC-pos_Cluster_0577: NA	NA	NA	TRUE	NA	7.810284	226.117733	NA	Pyridines and derivatives	NA
HILIC-pos_Cluster_0578: NA	NA	NA	TRUE	NA	8.625403	226.117667	NA	Pyridines and derivatives	NA
HILIC-pos_Cluster_0579: NA	NA	NA	TRUE	NA	5.217187	226.1176	NA	Pyridines and derivatives	NA
HILIC-pos_Cluster_0582: NA	NA	NA	TRUE	NA	2.353494	226.179402	NA	NA	NA
HILIC-pos_Cluster_0583: NA	NA	NA	TRUE	NA	7.229248	226.190346	NA	NA	NA
HILIC-pos_Cluster_0584: NA	NA	NA	TRUE	NA	7.262447	226.95069	NA	Keto acids and derivatives	NA
HILIC-pos_Cluster_0585: NA	NA	NA	TRUE	NA	6.455808	227.078444	NA	Diazines	NA
HILIC-pos_Cluster_0586: NA	NA	NA	TRUE	NA	8.625435	227.101627	NA	Organonitrogen compounds	NA
HILIC-pos_Cluster_0587: NA	NA	NA	TRUE	NA	8.0986	227.10179	NA	Organonitrogen compounds	NA
HILIC-pos_Cluster_0591: NA	NA	NA	TRUE	NA	6.42199	227.124102	NA	NA	NA
HILIC-pos_Cluster_0592: NA	NA	NA	TRUE	NA	1.797594	227.12677	NA	Medium-chain fatty acids	NA
HILIC-pos_Cluster_0595: NA	NA	NA	TRUE	NA	7.858091	227.138273	NA	Diazines	NA
HILIC-pos_Cluster_0597: NA	NA	NA	TRUE	NA	1.562069	227.199712	NA	Monoterpenoids	NA
HILIC-pos_Cluster_0599: NA	NA	NA	TRUE	NA	4.749516	228.085804	NA	NA	NA
HILIC-pos_Cluster_0602: NA	NA	NA	TRUE	NA	1.932881	228.194868	NA	NA	NA
HILIC-pos_Cluster_0603: NA	NA	NA	TRUE	NA	2.360025	228.19491	NA	NA	NA
HILIC-pos_Cluster_0604: NA	NA	NA	TRUE	NA	5.273326	229.117386	NA	Carboxylic acid derivatives	NA
HILIC-pos_Cluster_0606: NA	NA	NA	TRUE	NA	7.411276	229.117589	NA	Carboxylic acid derivatives	NA
HILIC-pos_Cluster_0607: NA	NA	NA	TRUE	NA	8.779616	229.128539	NA	NA	NA
HILIC-pos_Cluster_0610: NA	NA	NA	TRUE	NA	7.439151	229.153761	NA	Dipeptides	NA
HILIC-pos_Cluster_0612: NA	NA	NA	TRUE	NA	10.195751	229.153648	NA	Dipeptides	NA
HILIC-pos_Cluster_0613: NA	NA	NA	TRUE	NA	4.817028	230.101232	NA	NA	NA
HILIC-pos_Cluster_0614: NA	NA	NA	TRUE	NA	6.5106019999999996	230.11666	NA	NA	NA
HILIC-pos_Cluster_0615: NA	NA	NA	TRUE	NA	8.458408	230.185234	NA	NA	NA
HILIC-pos_Cluster_0617: NA	NA	NA	TRUE	NA	5.749354	230.246747	NA	NA	NA
HILIC-pos_Cluster_0620: NA	NA	NA	TRUE	NA	10.065328	231.169384	NA	Dipeptides	NA
HILIC-pos_Cluster_0621: NA	NA	NA	TRUE	NA	6.763803	231.169466	NA	Dipeptides	NA
HILIC-pos_Cluster_0622: NA	NA	NA	TRUE	NA	6.899566	232.095849	NA	NA	NA
HILIC-pos_Cluster_0623: NA	NA	NA	TRUE	NA	7.661774	232.128296	NA	Dipeptides	NA
HILIC-pos_Cluster_0624: NA	NA	NA	TRUE	NA	9.554545	232.139594	NA	Dipeptides	NA
HILIC-pos_Cluster_0627: NA	NA	NA	TRUE	NA	7.346442	233.148663	NA	Dipeptides	NA
HILIC-pos_Cluster_0629: NA	NA	NA	TRUE	NA	9.566283	234.180489	NA	L-alpha-amino acids	NA
HILIC-pos_Cluster_2242: NA	NA	NA	TRUE	NA	2.361276	670.538013	NA	NA	NA
HILIC-pos_Cluster_2244: NA	NA	NA	TRUE	NA	8.880701	672.40542	NA	NA	NA
HILIC-pos_Cluster_2245: NA	NA	NA	TRUE	NA	1.601852	672.55331	NA	NA	NA
HILIC-pos_Cluster_2246: NA	NA	NA	TRUE	NA	8.879448	672.907452	NA	NA	NA
HILIC-pos_Cluster_2247: NA	NA	NA	TRUE	NA	1.634697	673.535803	NA	NA	NA
HILIC-pos_Cluster_2248: NA	NA	NA	TRUE	NA	1.599604	674.569277	NA	NA	NA
HILIC-pos_Cluster_2249: NA	NA	NA	TRUE	NA	1.640672	675.551913	NA	NA	NA
HILIC-pos_Cluster_2250: NA	NA	NA	TRUE	NA	1.842123	675.672849	NA	NA	NA
HILIC-pos_Cluster_2251: NA	NA	NA	TRUE	NA	1.593954	676.58518	NA	NA	NA
HILIC-pos_Cluster_2252: NA	NA	NA	TRUE	NA	2.841432	677.504689	NA	NA	NA
HILIC-pos_Cluster_2254: NA	NA	NA	TRUE	NA	1.569971	678.563616	NA	NA	NA
HILIC-pos_Cluster_2256: NA	NA	NA	TRUE	NA	5.946114	679.5358	NA	NA	NA
HILIC-pos_Cluster_2257: NA	NA	NA	TRUE	NA	1.573683	680.579441	NA	NA	NA
HILIC-pos_Cluster_2258: NA	NA	NA	TRUE	NA	5.255081	680.595332	NA	NA	NA
HILIC-pos_Cluster_2259: NA	NA	NA	TRUE	NA	1.826424	680.616121	NA	NA	NA
HILIC-pos_Cluster_2260: NA	NA	NA	TRUE	NA	1.59451	682.359957	NA	NA	NA
HILIC-pos_Cluster_2261: NA	NA	NA	TRUE	NA	1.828835	682.631341	NA	NA	NA
HILIC-pos_Cluster_2262: NA	NA	NA	TRUE	NA	1.546469	684.610593	NA	NA	NA
HILIC-pos_Cluster_2263: NA	NA	NA	TRUE	NA	2.285059	686.532619	NA	NA	NA
HILIC-pos_Cluster_2264: NA	NA	NA	TRUE	NA	2.871125	686.564821	NA	NA	NA
HILIC-pos_Cluster_2266: NA	NA	NA	TRUE	NA	1.617219	688.547707	NA	NA	NA
HILIC-pos_Cluster_2268: NA	NA	NA	TRUE	NA	1.624522	690.563675	NA	NA	NA
HILIC-pos_Cluster_2270: NA	NA	NA	TRUE	NA	6.778284	692.402888	NA	NA	NA
HILIC-pos_Cluster_2271: NA	NA	NA	TRUE	NA	4.648117	692.454398	NA	Azepines	NA
HILIC-pos_Cluster_2272: NA	NA	NA	TRUE	NA	5.929042	693.550656	NA	NA	NA
HILIC-pos_Cluster_2273: NA	NA	NA	TRUE	NA	9.00641	694.419067	NA	NA	NA
HILIC-pos_Cluster_2274: NA	NA	NA	TRUE	NA	2.355121	694.537841	NA	NA	NA
HILIC-pos_Cluster_2276: NA	NA	NA	TRUE	NA	9.005529	694.920947	NA	NA	NA
HILIC-pos_Cluster_2277: NA	NA	NA	TRUE	NA	7.106726	696.434177	NA	NA	NA
HILIC-pos_Cluster_2278: NA	NA	NA	TRUE	NA	3.051863	696.537832	NA	NA	NA
HILIC-pos_Cluster_2279: NA	NA	NA	TRUE	NA	1.593962	696.552769	NA	NA	NA
HILIC-pos_Cluster_2280: NA	NA	NA	TRUE	NA	1.747802	696.554149	NA	NA	NA
HILIC-pos_Cluster_2282: NA	NA	NA	TRUE	NA	2.138001	696.553202	NA	NA	NA
HILIC-pos_Cluster_2283: NA	NA	NA	TRUE	NA	2.343817	696.553683	NA	NA	NA
HILIC-pos_Cluster_2284: NA	NA	NA	TRUE	NA	6.778858	697.358617	NA	NA	NA
HILIC-pos_Cluster_2285: NA	NA	NA	TRUE	NA	2.327183	698.568253	NA	NA	NA
HILIC-pos_Cluster_2286: NA	NA	NA	TRUE	NA	1.602401	698.568844	NA	NA	NA
HILIC-pos_Cluster_2288: NA	NA	NA	TRUE	NA	2.863524	700.57598	NA	Sphingolipids	NA
HILIC-pos_Cluster_2289: NA	NA	NA	TRUE	NA	1.590885	700.584737	NA	NA	NA
HILIC-pos_Cluster_2290: NA	NA	NA	TRUE	NA	6.722191	701.280715	NA	Tetrapyrroles and derivatives	NA
HILIC-pos_Cluster_2291: NA	NA	NA	TRUE	NA	7.108286	701.390241	NA	NA	NA
HILIC-pos_Cluster_2292: NA	NA	NA	TRUE	NA	1.585339	702.600302	NA	NA	NA
HILIC-pos_Cluster_2295: NA	NA	NA	TRUE	NA	2.136436	705.574256	NA	NA	NA
HILIC-pos_Cluster_2296: NA	NA	NA	TRUE	NA	1.554383	708.50826	NA	NA	NA
HILIC-pos_Cluster_2297: NA	NA	NA	TRUE	NA	1.580759	710.39123	NA	NA	NA
HILIC-pos_Cluster_2298: NA	NA	NA	TRUE	NA	2.281262	710.532302	NA	NA	NA
HILIC-pos_Cluster_2299: NA	NA	NA	TRUE	NA	1.8246	710.532126	NA	NA	NA
HILIC-pos_Cluster_2300: NA	NA	NA	TRUE	NA	2.275866	712.548296	NA	NA	NA
